score,frame
0,0
0,1
1,2
1,3
3,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
13,12
13,13
13,14
13,15
17,16
17,17
31,18
31,19
36,20
36,21
36,22
36,23
37,24
49,25
49,26
49,27
49,28
56,29
56,30
56,31
59,32
63,33
65,34
76,35
76,36
76,37
81,38
81,39
81,40
82,41
96,42
96,43
101,44
102,45
104,46
107,47
107,48
107,49
116,50
116,51
116,52
116,53
117,54
117,55
117,56
121,57
121,58
127,59
127,60
145,61
146,62
146,63
156,64
156,65
167,66
172,67
174,68
174,69
174,70
177,71
177,72
178,73
178,74
178,75
178,76
181,77
236,78
236,79
238,80
238,81
238,82
238,83
238,84
255,85
259,86
259,87
259,88
264,89
264,90
264,91
264,92
264,93
267,94
271,95
283,96
283,97
284,98
284,99
287,100
287,101
314,102
314,103
314,104
314,105
314,106
321,107
321,108
321,109
321,110
330,111
330,112
333,113
348,114
349,115
349,116
349,117
349,118
354,119
354,120
354,121
354,122
358,123
358,124
358,125
