score,frame
0,0
0,1
1,2
1,3
3,4
3,5
6,6
10,7
15,8
15,9
15,10
15,11
15,12
17,13
17,14
17,15
17,16
22,17
22,18
29,19
29,20
29,21
31,22
31,23
42,24
43,25
47,26
50,27
50,28
50,29
50,30
60,31
60,32
60,33
73,34
73,35
73,36
73,37
73,38
73,39
73,40
73,41
83,42
83,43
92,44
92,45
92,46
92,47
92,48
92,49
97,50
106,51
109,52
109,53
112,54
116,55
116,56
116,57
148,58
148,59
148,60
148,61
148,62
148,63
160,64
162,65
168,66
168,67
168,68
169,69
173,70
173,71
195,72
199,73
199,74
199,75
199,76
206,77
207,78
207,79
207,80
207,81
207,82
207,83
207,84
207,85
