score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
15,8
16,9
16,10
16,11
20,12
23,13
38,14
38,15
38,16
40,17
40,18
49,19
49,20
49,21
53,22
53,23
56,24
56,25
56,26
67,27
67,28
67,29
72,30
72,31
72,32
72,33
72,34
73,35
75,36
78,37
78,38
78,39
90,40
101,41
101,42
101,43
101,44
101,45
104,46
104,47
104,48
119,49
120,50
127,51
127,52
133,53
142,54
142,55
143,56
143,57
171,58
178,59
178,60
189,61
189,62
200,63
200,64
200,65
202,66
202,67
202,68
207,69
207,70
228,71
232,72
232,73
235,74
238,75
238,76
243,77
245,78
245,79
245,80
245,81
245,82
245,83
245,84
248,85
263,86
265,87
268,88
273,89
275,90
275,91
275,92
279,93
279,94
281,95
299,96
299,97
299,98
302,99
302,100
309,101
314,102
323,103
323,104
323,105
323,106
323,107
334,108
336,109
336,110
336,111
336,112
