score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
13,8
13,9
13,10
13,11
22,12
25,13
25,14
25,15
25,16
25,17
25,18
25,19
30,20
30,21
51,22
54,23
54,24
58,25
58,26
58,27
60,28
60,29
60,30
63,31
85,32
87,33
92,34
95,35
95,36
99,37
99,38
99,39
102,40
107,41
113,42
122,43
136,44
140,45
140,46
140,47
155,48
155,49
157,50
157,51
157,52
157,53
157,54
161,55
166,56
166,57
166,58
166,59
166,60
166,61
178,62
178,63
178,64
183,65
185,66
189,67
189,68
194,69
203,70
204,71
204,72
204,73
204,74
211,75
211,76
211,77
211,78
212,79
212,80
215,81
259,82
262,83
268,84
272,85
272,86
272,87
272,88
278,89
278,90
278,91
296,92
296,93
296,94
296,95
301,96
303,97
303,98
303,99
307,100
307,101
321,102
321,103
326,104
327,105
327,106
330,107
330,108
330,109
334,110
339,111
339,112
339,113
339,114
343,115
343,116
346,117
346,118
347,119
347,120
356,121
356,122
356,123
356,124
418,125
418,126
418,127
418,128
418,129
418,130
421,131
421,132
423,133
423,134
431,135
431,136
433,137
453,138
453,139
468,140
469,141
469,142
469,143
469,144
474,145
476,146
476,147
476,148
476,149
476,150
476,151
476,152
481,153
481,154
481,155
