score,frame
0,0
0,1
1,2
1,3
3,4
3,5
6,6
10,7
10,8
15,9
15,10
23,11
23,12
23,13
23,14
38,15
40,16
40,17
40,18
40,19
40,20
44,21
44,22
58,23
58,24
58,25
58,26
58,27
58,28
78,29
78,30
83,31
83,32
83,33
83,34
83,35
83,36
92,37
92,38
92,39
92,40
94,41
94,42
112,43
112,44
113,45
113,46
116,47
123,48
134,49
140,50
140,51
144,52
151,53
151,54
151,55
155,56
155,57
160,58
160,59
160,60
166,61
166,62
166,63
166,64
167,65
167,66
169,67
169,68
169,69
185,70
196,71
196,72
196,73
196,74
196,75
196,76
196,77
201,78
201,79
206,80
206,81
228,82
230,83
230,84
233,85
233,86
253,87
253,88
255,89
258,90
262,91
262,92
262,93
263,94
263,95
263,96
266,97
266,98
299,99
299,100
299,101
299,102
302,103
302,104
302,105
309,106
309,107
309,108
309,109
