score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,15
26,16
26,17
26,18
31,19
31,20
31,21
44,22
44,23
47,24
47,25
52,26
52,27
52,28
55,29
77,30
77,31
77,32
84,33
84,34
87,35
87,36
92,37
92,38
99,39
99,40
99,41
99,42
99,43
103,44
103,45
109,46
109,47
111,48
111,49
114,50
114,51
114,52
115,53
120,54
124,55
124,56
183,57
183,58
183,59
183,60
183,61
183,62
183,63
183,64
185,65
189,66
194,67
197,68
197,69
197,70
199,71
199,72
199,73
205,74
212,75
215,76
215,77
217,78
228,79
228,80
228,81
228,82
229,83
234,84
234,85
234,86
234,87
277,88
277,89
277,90
277,91
280,92
287,93
287,94
298,95
298,96
302,97
304,98
304,99
308,100
308,101
310,102
310,103
313,104
313,105
318,106
343,107
345,108
345,109
345,110
354,111
354,112
354,113
359,114
359,115
359,116
359,117
364,118
385,119
385,120
385,121
390,122
390,123
390,124
390,125
390,126
390,127
390,128
390,129
390,130
390,131
390,132
390,133
