score,frame
0,0
0,1
1,2
1,3
3,4
3,5
6,6
10,7
15,8
15,9
15,10
15,11
15,12
18,13
18,14
23,15
23,16
23,17
23,18
23,19
23,20
23,21
33,22
36,23
37,24
41,25
41,26
52,27
55,28
55,29
66,30
66,31
66,32
66,33
66,34
66,35
66,36
66,37
73,38
73,39
82,40
82,41
82,42
82,43
82,44
82,45
128,46
128,47
129,48
129,49
132,50
132,51
132,52
140,53
142,54
145,55
145,56
145,57
146,58
146,59
146,60
148,61
155,62
155,63
160,64
160,65
160,66
178,67
182,68
182,69
184,70
184,71
212,72
212,73
215,74
215,75
220,76
220,77
220,78
222,79
226,80
230,81
230,82
232,83
235,84
235,85
235,86
237,87
237,88
251,89
251,90
254,91
269,92
269,93
269,94
269,95
272,96
272,97
272,98
284,99
284,100
302,101
302,102
302,103
302,104
327,105
327,106
332,107
336,108
336,109
336,110
345,111
348,112
356,113
356,114
356,115
356,116
374,117
374,118
378,119
383,120
418,121
418,122
418,123
420,124
423,125
423,126
423,127
443,128
443,129
443,130
443,131
447,132
450,133
453,134
453,135
462,136
463,137
463,138
463,139
467,140
467,141
467,142
467,143
467,144
467,145
470,146
475,147
475,148
486,149
486,150
486,151
486,152
486,153
486,154
