score,frame
0,0
0,1
1,2
1,3
3,4
3,5
6,6
10,7
10,8
11,9
16,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
18,18
32,19
36,20
39,21
39,22
44,23
44,24
51,25
51,26
51,27
52,28
57,29
68,30
72,31
72,32
75,33
84,34
84,35
87,36
87,37
87,38
87,39
87,40
92,41
95,42
95,43
97,44
104,45
104,46
104,47
105,48
123,49
123,50
123,51
127,52
127,53
127,54
127,55
133,56
136,57
136,58
136,59
136,60
136,61
140,62
141,63
143,64
154,65
154,66
163,67
168,68
168,69
168,70
168,71
168,72
169,73
174,74
174,75
174,76
174,77
175,78
175,79
178,80
178,81
178,82
178,83
189,84
189,85
217,86
217,87
217,88
225,89
230,90
230,91
248,92
250,93
278,94
278,95
284,96
284,97
284,98
284,99
295,100
296,101
296,102
296,103
296,104
296,105
296,106
308,107
308,108
308,109
332,110
332,111
332,112
332,113
332,114
337,115
337,116
349,117
350,118
350,119
350,120
350,121
350,122
351,123
354,124
359,125
359,126
359,127
364,128
364,129
364,130
