score,frame
0,0
0,1
1,2
1,3
3,4
3,5
6,6
10,7
10,8
10,9
10,10
13,11
17,12
22,13
22,14
22,15
22,16
25,17
25,18
30,19
30,20
37,21
37,22
42,23
42,24
42,25
57,26
58,27
60,28
60,29
60,30
60,31
60,32
60,33
64,34
64,35
64,36
66,37
67,38
85,39
85,40
85,41
94,42
94,43
94,44
94,45
104,46
133,47
133,48
133,49
133,50
136,51
136,52
150,53
150,54
154,55
154,56
169,57
169,58
171,59
171,60
176,61
176,62
182,63
182,64
184,65
184,66
184,67
184,68
184,69
184,70
192,71
199,72
199,73
199,74
202,75
202,76
202,77
224,78
228,79
228,80
238,81
247,82
252,83
252,84
252,85
254,86
257,87
257,88
258,89
258,90
258,91
258,92
259,93
263,94
263,95
278,96
278,97
278,98
286,99
286,100
306,101
310,102
310,103
310,104
310,105
324,106
324,107
324,108
327,109
330,110
330,111
330,112
334,113
334,114
334,115
351,116
351,117
355,118
367,119
367,120
369,121
369,122
370,123
386,124
391,125
391,126
391,127
396,128
396,129
398,130
403,131
403,132
403,133
403,134
410,135
411,136
413,137
413,138
413,139
418,140
418,141
418,142
418,143
