score,frame
0,0
0,1
1,2
1,3
1,4
1,5
6,6
10,7
10,8
10,9
10,10
10,11
11,12
11,13
11,14
11,15
25,16
25,17
29,18
29,19
32,20
37,21
40,22
40,23
42,24
42,25
42,26
57,27
57,28
57,29
61,30
61,31
65,32
65,33
70,34
70,35
70,36
70,37
70,38
71,39
71,40
74,41
85,42
85,43
85,44
89,45
92,46
92,47
92,48
119,49
119,50
123,51
128,52
128,53
128,54
153,55
159,56
159,57
159,58
159,59
168,60
168,61
168,62
168,63
179,64
179,65
182,66
182,67
184,68
195,69
198,70
198,71
198,72
198,73
198,74
198,75
200,76
200,77
200,78
205,79
205,80
214,81
219,82
219,83
219,84
221,85
224,86
224,87
228,88
229,89
234,90
234,91
234,92
266,93
271,94
280,95
281,96
281,97
283,98
283,99
283,100
283,101
283,102
284,103
284,104
293,105
293,106
296,107
296,108
298,109
309,110
309,111
309,112
364,113
365,114
365,115
365,116
366,117
366,118
366,119
366,120
371,121
374,122
376,123
376,124
376,125
391,126
391,127
409,128
409,129
409,130
409,131
409,132
427,133
431,134
431,135
434,136
434,137
437,138
437,139
446,140
446,141
447,142
447,143
458,144
458,145
471,146
475,147
475,148
475,149
480,150
483,151
483,152
483,153
483,154
483,155
483,156
483,157
