score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
10,9
10,10
15,11
15,12
15,13
15,14
17,15
20,16
20,17
20,18
32,19
32,20
41,21
41,22
41,23
43,24
57,25
57,26
58,27
58,28
58,29
58,30
76,31
78,32
81,33
81,34
81,35
81,36
86,37
86,38
91,39
91,40
92,41
92,42
96,43
114,44
114,45
114,46
114,47
114,48
119,49
119,50
119,51
119,52
119,53
128,54
128,55
129,56
133,57
144,58
144,59
145,60
145,61
145,62
151,63
176,64
185,65
190,66
190,67
190,68
190,69
190,70
190,71
195,72
195,73
195,74
195,75
213,76
213,77
216,78
216,79
216,80
216,81
228,82
234,83
234,84
234,85
234,86
235,87
235,88
235,89
235,90
240,91
245,92
245,93
245,94
250,95
250,96
250,97
261,98
261,99
261,100
261,101
261,102
261,103
261,104
261,105
268,106
268,107
