score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
9,9
12,10
12,11
12,12
12,13
12,14
12,15
12,16
12,17
16,18
22,19
24,20
31,21
31,22
31,23
39,24
39,25
39,26
39,27
39,28
57,29
59,30
74,31
83,32
88,33
88,34
88,35
90,36
90,37
90,38
93,39
97,40
115,41
115,42
124,43
129,44
129,45
129,46
129,47
129,48
129,49
129,50
129,51
130,52
130,53
135,54
135,55
135,56
137,57
137,58
142,59
143,60
146,61
146,62
146,63
146,64
146,65
156,66
161,67
164,68
164,69
197,70
197,71
204,72
204,73
205,74
205,75
208,76
208,77
213,78
213,79
214,80
214,81
214,82
214,83
220,84
230,85
230,86
235,87
269,88
269,89
269,90
269,91
269,92
274,93
274,94
274,95
274,96
274,97
274,98
274,99
274,100
274,101
274,102
274,103
300,104
302,105
309,106
309,107
310,108
312,109
312,110
312,111
315,112
315,113
341,114
343,115
343,116
344,117
347,118
347,119
347,120
347,121
354,122
355,123
364,124
369,125
369,126
370,127
370,128
370,129
374,130
374,131
374,132
375,133
377,134
380,135
395,136
395,137
400,138
400,139
400,140
403,141
407,142
