score,frame
0,0
0,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
8,10
17,11
19,12
19,13
19,14
19,15
24,16
24,17
29,18
29,19
31,20
34,21
34,22
34,23
35,24
35,25
39,26
39,27
41,28
44,29
44,30
45,31
47,32
65,33
65,34
65,35
65,36
67,37
68,38
68,39
68,40
68,41
68,42
68,43
68,44
68,45
111,46
114,47
114,48
114,49
121,50
121,51
121,52
133,53
138,54
138,55
138,56
138,57
138,58
138,59
143,60
143,61
154,62
154,63
161,64
173,65
173,66
173,67
173,68
173,69
185,70
187,71
194,72
201,73
201,74
201,75
201,76
201,77
230,78
230,79
230,80
230,81
242,82
247,83
251,84
251,85
251,86
251,87
253,88
271,89
271,90
276,91
276,92
276,93
276,94
278,95
281,96
286,97
290,98
290,99
312,100
312,101
312,102
312,103
312,104
312,105
313,106
313,107
318,108
323,109
338,110
339,111
343,112
343,113
343,114
344,115
344,116
345,117
345,118
348,119
348,120
348,121
