score,frame
0,0
0,1
0,2
0,3
0,4
3,5
6,6
10,7
10,8
12,9
12,10
13,11
16,12
20,13
23,14
23,15
27,16
32,17
47,18
47,19
49,20
49,21
52,22
52,23
52,24
52,25
55,26
55,27
55,28
60,29
60,30
61,31
68,32
68,33
68,34
68,35
68,36
68,37
68,38
70,39
73,40
73,41
73,42
73,43
73,44
73,45
73,46
73,47
73,48
117,49
121,50
152,51
152,52
155,53
155,54
155,55
162,56
162,57
162,58
162,59
162,60
162,61
162,62
162,63
166,64
166,65
179,66
183,67
183,68
190,69
190,70
191,71
191,72
192,73
192,74
192,75
225,76
225,77
225,78
225,79
234,80
234,81
234,82
234,83
241,84
252,85
257,86
257,87
257,88
257,89
257,90
261,91
261,92
266,93
266,94
266,95
266,96
266,97
277,98
277,99
281,100
284,101
284,102
286,103
290,104
295,105
295,106
295,107
295,108
298,109
298,110
298,111
316,112
316,113
316,114
316,115
316,116
322,117
322,118
324,119
324,120
339,121
339,122
339,123
342,124
346,125
346,126
347,127
347,128
349,129
349,130
349,131
358,132
358,133
358,134
358,135
367,136
390,137
393,138
396,139
400,140
400,141
400,142
400,143
402,144
402,145
403,146
403,147
412,148
421,149
422,150
422,151
422,152
469,153
469,154
471,155
471,156
471,157
471,158
474,159
486,160
486,161
486,162
486,163
486,164
486,165
489,166
501,167
501,168
503,169
503,170
503,171
