score,frame
0,0
0,1
1,2
1,3
3,4
3,5
6,6
10,7
10,8
12,9
15,10
15,11
22,12
27,13
27,14
27,15
42,16
42,17
42,18
43,19
48,20
48,21
48,22
51,23
51,24
54,25
58,26
58,27
60,28
71,29
71,30
79,31
79,32
80,33
80,34
89,35
89,36
100,37
100,38
105,39
105,40
105,41
105,42
105,43
105,44
105,45
105,46
109,47
114,48
123,49
123,50
165,51
174,52
177,53
177,54
177,55
177,56
177,57
177,58
188,59
189,60
189,61
189,62
189,63
189,64
189,65
198,66
198,67
207,68
207,69
207,70
208,71
208,72
208,73
215,74
215,75
215,76
216,77
216,78
216,79
216,80
218,81
230,82
230,83
230,84
230,85
234,86
234,87
243,88
270,89
272,90
272,91
272,92
277,93
277,94
279,95
279,96
292,97
300,98
300,99
300,100
300,101
300,102
300,103
301,104
301,105
315,106
315,107
320,108
320,109
320,110
320,111
320,112
320,113
320,114
320,115
