score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
8,9
13,10
13,11
13,12
13,13
22,14
22,15
22,16
22,17
22,18
33,19
33,20
35,21
39,22
39,23
39,24
39,25
50,26
50,27
55,28
55,29
60,30
60,31
63,32
67,33
68,34
68,35
68,36
77,37
77,38
79,39
90,40
94,41
97,42
102,43
102,44
102,45
105,46
110,47
110,48
120,49
120,50
121,51
121,52
126,53
126,54
126,55
127,56
127,57
127,58
127,59
132,60
150,61
150,62
150,63
162,64
162,65
162,66
162,67
162,68
162,69
188,70
188,71
188,72
198,73
203,74
203,75
203,76
206,77
206,78
206,79
210,80
210,81
210,82
210,83
240,84
240,85
243,86
243,87
243,88
245,89
246,90
246,91
246,92
253,93
262,94
262,95
262,96
262,97
262,98
285,99
285,100
285,101
287,102
300,103
300,104
300,105
300,106
300,107
300,108
300,109
303,110
303,111
303,112
312,113
341,114
341,115
345,116
345,117
353,118
357,119
357,120
357,121
375,122
375,123
375,124
375,125
380,126
380,127
389,128
389,129
389,130
390,131
390,132
