score,frame
0,0
0,1
0,2
0,3
3,4
6,5
6,6
10,7
15,8
15,9
15,10
15,11
15,12
18,13
18,14
18,15
19,16
19,17
19,18
20,19
24,20
24,21
24,22
24,23
24,24
31,25
31,26
33,27
33,28
33,29
42,30
42,31
42,32
42,33
42,34
42,35
42,36
42,37
84,38
84,39
84,40
103,41
103,42
108,43
111,44
111,45
111,46
111,47
111,48
115,49
143,50
143,51
147,52
147,53
147,54
147,55
147,56
147,57
147,58
147,59
152,60
159,61
170,62
172,63
172,64
172,65
172,66
172,67
172,68
187,69
192,70
192,71
224,72
228,73
232,74
232,75
232,76
232,77
232,78
232,79
235,80
236,81
238,82
241,83
241,84
241,85
247,86
247,87
249,88
249,89
250,90
250,91
250,92
261,93
266,94
266,95
266,96
267,97
281,98
281,99
281,100
281,101
290,102
290,103
341,104
343,105
343,106
343,107
343,108
343,109
348,110
348,111
348,112
348,113
353,114
353,115
353,116
353,117
353,118
371,119
371,120
371,121
371,122
376,123
378,124
378,125
379,126
379,127
379,128
379,129
