score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
15,8
15,9
16,10
16,11
16,12
16,13
19,14
24,15
24,16
24,17
27,18
31,19
31,20
31,21
32,22
32,23
35,24
35,25
37,26
37,27
37,28
39,29
46,30
46,31
61,32
72,33
74,34
81,35
81,36
82,37
82,38
82,39
94,40
94,41
112,42
112,43
112,44
112,45
121,46
122,47
122,48
125,49
127,50
127,51
127,52
127,53
128,54
131,55
136,56
136,57
139,58
150,59
150,60
150,61
150,62
157,63
157,64
164,65
164,66
164,67
164,68
164,69
164,70
166,71
166,72
171,73
174,74
175,75
175,76
175,77
175,78
176,79
176,80
176,81
180,82
191,83
192,84
192,85
192,86
195,87
195,88
224,89
224,90
226,91
226,92
226,93
226,94
250,95
250,96
255,97
256,98
258,99
258,100
258,101
258,102
258,103
260,104
260,105
269,106
288,107
290,108
290,109
293,110
297,111
297,112
297,113
297,114
297,115
297,116
306,117
307,118
307,119
307,120
307,121
307,122
307,123
307,124
