score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
10,8
13,9
13,10
13,11
18,12
18,13
36,14
36,15
36,16
36,17
36,18
45,19
48,20
48,21
51,22
51,23
51,24
51,25
52,26
56,27
56,28
61,29
64,30
67,31
67,32
67,33
67,34
72,35
72,36
74,37
100,38
100,39
105,40
105,41
107,42
107,43
108,44
108,45
111,46
111,47
116,48
116,49
131,50
131,51
131,52
131,53
131,54
131,55
131,56
131,57
131,58
131,59
131,60
131,61
131,62
132,63
139,64
142,65
142,66
157,67
166,68
166,69
166,70
171,71
171,72
171,73
172,74
176,75
176,76
178,77
181,78
181,79
181,80
218,81
218,82
221,83
230,84
236,85
236,86
236,87
247,88
247,89
247,90
252,91
252,92
252,93
255,94
288,95
288,96
288,97
292,98
292,99
292,100
301,101
301,102
301,103
301,104
325,105
330,106
330,107
332,108
335,109
336,110
336,111
341,112
350,113
350,114
352,115
352,116
352,117
352,118
353,119
353,120
358,121
363,122
399,123
399,124
399,125
399,126
406,127
406,128
406,129
406,130
409,131
409,132
414,133
414,134
417,135
417,136
428,137
428,138
428,139
442,140
442,141
442,142
442,143
447,144
447,145
458,146
459,147
459,148
459,149
467,150
467,151
467,152
