score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
13,8
13,9
13,10
15,11
20,12
23,13
27,14
27,15
27,16
30,17
30,18
30,19
30,20
30,21
30,22
35,23
35,24
35,25
35,26
46,27
46,28
61,29
62,30
65,31
65,32
65,33
70,34
70,35
75,36
75,37
75,38
75,39
75,40
75,41
75,42
76,43
78,44
78,45
85,46
85,47
92,48
92,49
92,50
110,51
110,52
124,53
124,54
124,55
129,56
129,57
133,58
133,59
133,60
142,61
147,62
147,63
147,64
147,65
150,66
150,67
150,68
153,69
153,70
162,71
162,72
162,73
173,74
177,75
182,76
182,77
187,78
187,79
187,80
187,81
190,82
190,83
190,84
190,85
190,86
190,87
