score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
19,9
19,10
22,11
25,12
25,13
25,14
25,15
25,16
30,17
30,18
31,19
31,20
31,21
44,22
44,23
44,24
44,25
46,26
50,27
50,28
50,29
53,30
55,31
56,32
61,33
61,34
66,35
66,36
66,37
95,38
100,39
100,40
100,41
100,42
100,43
105,44
105,45
105,46
110,47
114,48
114,49
125,50
125,51
125,52
125,53
130,54
133,55
133,56
133,57
142,58
142,59
142,60
142,61
142,62
160,63
169,64
198,65
198,66
198,67
198,68
198,69
198,70
198,71
198,72
203,73
203,74
203,75
207,76
208,77
208,78
208,79
211,80
211,81
214,82
216,83
220,84
224,85
224,86
248,87
258,88
258,89
262,90
262,91
262,92
262,93
271,94
286,95
286,96
290,97
290,98
293,99
302,100
302,101
302,102
305,103
305,104
305,105
305,106
305,107
327,108
327,109
332,110
346,111
346,112
346,113
361,114
361,115
361,116
361,117
368,118
368,119
368,120
377,121
377,122
377,123
