score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
8,9
8,10
8,11
11,12
11,13
11,14
11,15
25,16
28,17
30,18
37,19
37,20
37,21
42,22
42,23
45,24
45,25
45,26
46,27
48,28
55,29
55,30
67,31
67,32
67,33
74,34
78,35
78,36
93,37
93,38
98,39
98,40
98,41
98,42
102,43
102,44
102,45
120,46
126,47
131,48
135,49
135,50
135,51
135,52
140,53
140,54
140,55
140,56
142,57
143,58
150,59
150,60
150,61
150,62
150,63
202,64
206,65
206,66
206,67
215,68
215,69
217,70
220,71
220,72
221,73
226,74
226,75
226,76
248,77
248,78
248,79
248,80
251,81
251,82
251,83
251,84
252,85
252,86
261,87
266,88
266,89
266,90
266,91
275,92
281,93
284,94
284,95
295,96
295,97
297,98
301,99
301,100
301,101
301,102
301,103
303,104
305,105
305,106
306,107
326,108
326,109
330,110
337,111
337,112
342,113
347,114
347,115
350,116
386,117
390,118
390,119
395,120
404,121
404,122
407,123
407,124
407,125
407,126
422,127
428,128
428,129
435,130
435,131
440,132
440,133
442,134
442,135
443,136
445,137
445,138
445,139
445,140
448,141
452,142
452,143
452,144
452,145
470,146
470,147
470,148
480,149
480,150
480,151
492,152
493,153
493,154
493,155
508,156
512,157
530,158
530,159
530,160
531,161
531,162
531,163
531,164
531,165
531,166
538,167
538,168
538,169
538,170
538,171
