score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
8,9
9,10
9,11
14,12
14,13
14,14
14,15
14,16
14,17
14,18
14,19
19,20
19,21
22,22
34,23
34,24
34,25
37,26
37,27
37,28
37,29
55,30
55,31
55,32
55,33
55,34
57,35
62,36
62,37
62,38
62,39
66,40
66,41
66,42
66,43
77,44
84,45
94,46
94,47
97,48
97,49
108,50
118,51
130,52
130,53
130,54
130,55
133,56
133,57
133,58
133,59
133,60
133,61
133,62
133,63
133,64
133,65
133,66
133,67
153,68
153,69
203,70
203,71
205,72
209,73
209,74
214,75
216,76
216,77
216,78
234,79
234,80
237,81
237,82
237,83
244,84
244,85
248,86
248,87
248,88
248,89
248,90
251,91
251,92
251,93
266,94
266,95
266,96
267,97
267,98
270,99
288,100
288,101
288,102
291,103
291,104
302,105
302,106
302,107
314,108
314,109
315,110
315,111
315,112
320,113
320,114
341,115
341,116
346,117
346,118
348,119
348,120
348,121
348,122
348,123
353,124
353,125
353,126
354,127
358,128
358,129
361,130
361,131
361,132
428,133
429,134
429,135
435,136
436,137
436,138
438,139
445,140
445,141
445,142
445,143
