score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
10,7
10,8
15,9
15,10
15,11
20,12
26,13
26,14
27,15
27,16
29,17
29,18
29,19
29,20
34,21
34,22
34,23
56,24
61,25
61,26
62,27
62,28
62,29
74,30
74,31
79,32
79,33
82,34
82,35
82,36
82,37
82,38
82,39
82,40
82,41
86,42
94,43
94,44
96,45
99,46
102,47
102,48
103,49
107,50
107,51
119,52
121,53
132,54
132,55
132,56
143,57
143,58
143,59
143,60
145,61
148,62
159,63
159,64
159,65
165,66
165,67
177,68
181,69
186,70
186,71
186,72
186,73
186,74
186,75
186,76
186,77
191,78
204,79
204,80
204,81
204,82
213,83
213,84
216,85
216,86
216,87
254,88
272,89
277,90
277,91
277,92
277,93
288,94
288,95
292,96
292,97
297,98
297,99
297,100
300,101
305,102
305,103
305,104
309,105
309,106
309,107
309,108
311,109
319,110
319,111
321,112
321,113
321,114
