score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
8,9
10,10
10,11
10,12
19,13
19,14
23,15
34,16
34,17
34,18
34,19
34,20
34,21
34,22
34,23
39,24
39,25
39,26
39,27
39,28
39,29
42,30
42,31
51,32
51,33
66,34
80,35
80,36
81,37
81,38
81,39
81,40
81,41
104,42
108,43
113,44
117,45
117,46
117,47
120,48
120,49
132,50
132,51
132,52
158,53
158,54
161,55
161,56
162,57
162,58
162,59
167,60
167,61
167,62
167,63
185,64
185,65
188,66
188,67
188,68
188,69
188,70
188,71
188,72
188,73
188,74
196,75
198,76
200,77
200,78
213,79
213,80
214,81
214,82
217,83
219,84
230,85
230,86
230,87
230,88
233,89
242,90
242,91
251,92
251,93
254,94
258,95
258,96
258,97
258,98
258,99
