score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
10,7
10,8
10,9
10,10
10,11
10,12
10,13
10,14
22,15
33,16
33,17
33,18
33,19
33,20
37,21
38,22
45,23
49,24
52,25
52,26
57,27
57,28
57,29
57,30
57,31
59,32
68,33
68,34
93,35
93,36
96,37
96,38
96,39
96,40
96,41
110,42
115,43
127,44
127,45
127,46
127,47
127,48
127,49
127,50
127,51
136,52
136,53
136,54
136,55
136,56
151,57
153,58
162,59
162,60
162,61
162,62
162,63
168,64
172,65
177,66
177,67
177,68
177,69
177,70
177,71
177,72
179,73
183,74
183,75
192,76
192,77
193,78
193,79
196,80
196,81
238,82
238,83
242,84
250,85
250,86
272,87
274,88
277,89
277,90
280,91
283,92
283,93
298,94
298,95
299,96
299,97
299,98
311,99
311,100
311,101
311,102
322,103
322,104
327,105
327,106
329,107
329,108
329,109
335,110
337,111
344,112
344,113
349,114
349,115
349,116
349,117
351,118
351,119
386,120
386,121
386,122
386,123
401,124
423,125
423,126
423,127
424,128
424,129
424,130
427,131
449,132
449,133
453,134
453,135
453,136
458,137
459,138
461,139
473,140
473,141
473,142
477,143
488,144
491,145
491,146
491,147
491,148
491,149
494,150
496,151
496,152
499,153
499,154
499,155
499,156
501,157
501,158
513,159
513,160
513,161
