score,frame
0,0
0,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
10,13
10,14
10,15
14,16
17,17
17,18
18,19
25,20
25,21
25,22
25,23
50,24
50,25
50,26
55,27
55,28
55,29
55,30
80,31
83,32
83,33
85,34
85,35
88,36
99,37
99,38
99,39
99,40
99,41
99,42
99,43
99,44
108,45
108,46
108,47
108,48
108,49
124,50
124,51
124,52
136,53
136,54
136,55
141,56
141,57
141,58
141,59
141,60
141,61
141,62
141,63
141,64
141,65
141,66
145,67
156,68
156,69
201,70
206,71
206,72
206,73
211,74
211,75
211,76
211,77
211,78
211,79
215,80
236,81
243,82
245,83
250,84
250,85
250,86
261,87
261,88
269,89
278,90
278,91
278,92
296,93
296,94
296,95
336,96
336,97
336,98
345,99
345,100
350,101
350,102
351,103
351,104
355,105
358,106
358,107
358,108
358,109
362,110
382,111
382,112
382,113
382,114
382,115
382,116
391,117
391,118
391,119
391,120
391,121
391,122
391,123
402,124
402,125
402,126
402,127
402,128
