score,frame
0,0
0,1
1,2
1,3
1,4
3,5
6,6
10,7
10,8
10,9
13,10
13,11
16,12
20,13
20,14
20,15
24,16
24,17
24,18
29,19
29,20
34,21
36,22
37,23
42,24
42,25
42,26
42,27
42,28
42,29
42,30
42,31
43,32
75,33
75,34
75,35
86,36
86,37
86,38
87,39
88,40
104,41
109,42
109,43
109,44
111,45
111,46
115,47
120,48
120,49
120,50
124,51
126,52
126,53
126,54
129,55
129,56
129,57
129,58
129,59
129,60
144,61
144,62
148,63
148,64
158,65
160,66
178,67
183,68
183,69
183,70
183,71
183,72
183,73
190,74
190,75
190,76
190,77
190,78
195,79
196,80
238,81
238,82
238,83
238,84
249,85
249,86
249,87
254,88
254,89
259,90
263,91
263,92
268,93
272,94
272,95
272,96
290,97
292,98
292,99
292,100
292,101
295,102
295,103
300,104
309,105
312,106
312,107
323,108
327,109
332,110
332,111
332,112
332,113
