score,frame
0,0
0,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
12,14
12,15
12,16
12,17
12,18
12,19
14,20
15,21
35,22
39,23
39,24
48,25
53,26
68,27
69,28
75,29
79,30
79,31
79,32
82,33
82,34
87,35
87,36
87,37
87,38
89,39
89,40
94,41
94,42
94,43
98,44
98,45
100,46
108,47
126,48
126,49
129,50
129,51
129,52
129,53
129,54
131,55
131,56
134,57
134,58
135,59
140,60
155,61
155,62
155,63
159,64
159,65
168,66
168,67
170,68
172,69
172,70
172,71
172,72
172,73
181,74
184,75
184,76
191,77
191,78
191,79
191,80
192,81
192,82
192,83
192,84
195,85
215,86
253,87
253,88
271,89
271,90
271,91
274,92
274,93
274,94
281,95
281,96
286,97
286,98
286,99
286,100
289,101
291,102
295,103
299,104
299,105
299,106
299,107
314,108
314,109
314,110
314,111
314,112
326,113
326,114
326,115
344,116
344,117
