score,frame
0,0
0,1
0,2
0,3
1,4
1,5
4,6
8,7
8,8
8,9
8,10
10,11
10,12
10,13
10,14
12,15
15,16
18,17
27,18
32,19
41,20
41,21
41,22
45,23
45,24
48,25
48,26
48,27
51,28
51,29
51,30
51,31
52,32
54,33
56,34
67,35
74,36
81,37
86,38
97,39
97,40
100,41
100,42
105,43
110,44
110,45
110,46
110,47
110,48
110,49
110,50
114,51
117,52
117,53
117,54
117,55
126,56
126,57
126,58
128,59
152,60
152,61
154,62
154,63
155,64
173,65
173,66
173,67
173,68
177,69
177,70
177,71
177,72
177,73
180,74
181,75
181,76
181,77
183,78
188,79
195,80
195,81
195,82
196,83
196,84
196,85
196,86
196,87
196,88
196,89
196,90
196,91
201,92
201,93
231,94
241,95
241,96
241,97
248,98
248,99
248,100
251,101
251,102
289,103
289,104
290,105
292,106
292,107
292,108
294,109
294,110
305,111
317,112
317,113
339,114
339,115
342,116
342,117
343,118
343,119
348,120
348,121
348,122
359,123
373,124
374,125
374,126
379,127
379,128
379,129
379,130
379,131
379,132
379,133
382,134
383,135
383,136
387,137
392,138
392,139
392,140
398,141
398,142
398,143
398,144
411,145
418,146
418,147
418,148
418,149
