score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
11,9
16,10
16,11
16,12
16,13
16,14
16,15
19,16
19,17
19,18
19,19
19,20
19,21
24,22
31,23
32,24
32,25
32,26
34,27
41,28
52,29
52,30
53,31
53,32
53,33
53,34
62,35
64,36
64,37
64,38
68,39
68,40
68,41
68,42
68,43
68,44
73,45
129,46
129,47
129,48
129,49
129,50
129,51
129,52
130,53
134,54
134,55
134,56
134,57
134,58
137,59
142,60
142,61
142,62
174,63
175,64
175,65
175,66
175,67
178,68
178,69
179,70
192,71
192,72
193,73
204,74
204,75
204,76
204,77
204,78
206,79
207,80
239,81
239,82
240,83
245,84
250,85
250,86
250,87
255,88
255,89
257,90
257,91
278,92
285,93
287,94
287,95
296,96
296,97
296,98
300,99
300,100
300,101
345,102
345,103
345,104
345,105
354,106
363,107
363,108
363,109
363,110
363,111
363,112
383,113
383,114
383,115
383,116
383,117
395,118
395,119
395,120
398,121
398,122
398,123
400,124
412,125
412,126
413,127
413,128
429,129
429,130
429,131
429,132
434,133
434,134
434,135
437,136
437,137
437,138
437,139
437,140
437,141
437,142
28,143
