score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
9,9
11,10
11,11
11,12
11,13
11,14
11,15
14,16
14,17
24,18
29,19
29,20
41,21
41,22
41,23
55,24
55,25
55,26
55,27
55,28
55,29
70,30
70,31
70,32
70,33
90,34
95,35
95,36
95,37
100,38
105,39
105,40
110,41
110,42
110,43
110,44
128,45
131,46
131,47
138,48
143,49
143,50
143,51
154,52
154,53
158,54
160,55
160,56
165,57
169,58
169,59
169,60
172,61
194,62
194,63
194,64
195,65
195,66
204,67
204,68
206,69
206,70
206,71
207,72
211,73
211,74
211,75
211,76
211,77
226,78
226,79
226,80
231,81
237,82
237,83
237,84
237,85
240,86
244,87
244,88
244,89
262,90
268,91
268,92
268,93
268,94
277,95
279,96
286,97
312,98
312,99
312,100
312,101
312,102
312,103
312,104
312,105
312,106
319,107
319,108
322,109
322,110
322,111
322,112
322,113
322,114
