score,frame
0,0
0,1
1,2
1,3
1,4
1,5
6,6
10,7
15,8
15,9
15,10
20,11
21,12
23,13
23,14
28,15
28,16
39,17
39,18
39,19
39,20
59,21
66,22
66,23
66,24
66,25
70,26
70,27
75,28
75,29
75,30
80,31
80,32
80,33
80,34
84,35
84,36
85,37
85,38
85,39
96,40
96,41
96,42
108,43
108,44
111,45
122,46
125,47
125,48
125,49
125,50
130,51
130,52
130,53
130,54
130,55
133,56
133,57
167,58
171,59
174,60
174,61
185,62
185,63
187,64
187,65
194,66
195,67
195,68
195,69
195,70
209,71
209,72
209,73
209,74
231,75
231,76
235,77
246,78
246,79
250,80
255,81
255,82
255,83
255,84
255,85
255,86
255,87
258,88
258,89
279,90
279,91
279,92
284,93
284,94
284,95
284,96
287,97
