score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
10,7
10,8
10,9
10,10
10,11
10,12
10,13
13,14
13,15
13,16
30,17
30,18
30,19
34,20
34,21
37,22
37,23
40,24
51,25
51,26
89,27
89,28
89,29
89,30
89,31
94,32
94,33
96,34
103,35
110,36
110,37
115,38
115,39
115,40
119,41
119,42
122,43
122,44
122,45
133,46
142,47
142,48
144,49
145,50
150,51
150,52
150,53
150,54
151,55
151,56
158,57
158,58
158,59
158,60
158,61
160,62
163,63
178,64
181,65
181,66
182,67
182,68
182,69
187,70
187,71
187,72
194,73
194,74
202,75
202,76
204,77
204,78
216,79
216,80
244,81
251,82
251,83
251,84
254,85
258,86
258,87
258,88
261,89
277,90
280,91
280,92
280,93
280,94
289,95
291,96
291,97
294,98
316,99
316,100
321,101
326,102
326,103
326,104
327,105
327,106
327,107
327,108
327,109
327,110
327,111
352,112
352,113
357,114
357,115
357,116
362,117
362,118
376,119
376,120
380,121
380,122
380,123
380,124
380,125
380,126
398,127
409,128
409,129
409,130
416,131
416,132
417,133
417,134
422,135
429,136
431,137
431,138
431,139
431,140
440,141
440,142
445,143
28,144
