score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
15,8
18,9
18,10
18,11
18,12
18,13
33,14
33,15
33,16
33,17
33,18
40,19
45,20
45,21
48,22
52,23
52,24
52,25
52,26
54,27
54,28
55,29
55,30
55,31
58,32
67,33
67,34
67,35
86,36
86,37
91,38
91,39
91,40
91,41
91,42
91,43
106,44
106,45
111,46
113,47
113,48
113,49
113,50
113,51
113,52
113,53
113,54
152,55
152,56
152,57
173,58
175,59
178,60
187,61
187,62
187,63
187,64
187,65
187,66
190,67
191,68
191,69
209,70
209,71
209,72
209,73
214,74
229,75
232,76
239,77
239,78
244,79
244,80
244,81
249,82
249,83
253,84
289,85
289,86
289,87
289,88
289,89
293,90
298,91
301,92
301,93
301,94
312,95
312,96
323,97
324,98
329,99
329,100
329,101
329,102
332,103
343,104
343,105
346,106
346,107
346,108
353,109
364,110
364,111
375,112
375,113
375,114
378,115
387,116
387,117
387,118
387,119
387,120
387,121
387,122
391,123
391,124
391,125
391,126
