score,frame
0,0
0,1
1,2
1,3
1,4
1,5
6,6
10,7
10,8
10,9
15,10
19,11
19,12
24,13
24,14
24,15
27,16
27,17
27,18
38,19
38,20
38,21
38,22
42,23
42,24
42,25
49,26
51,27
51,28
54,29
54,30
72,31
72,32
77,33
85,34
85,35
85,36
85,37
86,38
86,39
113,40
113,41
113,42
116,43
120,44
120,45
125,46
134,47
134,48
138,49
138,50
138,51
149,52
149,53
149,54
149,55
149,56
152,57
155,58
163,59
163,60
168,61
168,62
168,63
168,64
175,65
181,66
192,67
192,68
199,69
204,70
204,71
206,72
206,73
209,74
213,75
213,76
243,77
243,78
243,79
244,80
249,81
249,82
249,83
254,84
254,85
254,86
254,87
258,88
258,89
260,90
260,91
260,92
265,93
265,94
265,95
266,96
292,97
292,98
299,99
299,100
302,101
302,102
302,103
307,104
316,105
316,106
318,107
318,108
322,109
322,110
323,111
323,112
328,113
332,114
332,115
343,116
343,117
343,118
343,119
343,120
343,121
348,122
371,123
371,124
378,125
378,126
390,127
390,128
390,129
393,130
411,131
412,132
412,133
412,134
412,135
414,136
414,137
414,138
414,139
415,140
436,141
436,142
445,143
448,144
448,145
451,146
451,147
451,148
451,149
