score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
8,9
8,10
8,11
8,12
8,13
22,14
22,15
31,16
31,17
42,18
46,19
46,20
49,21
49,22
63,23
63,24
63,25
63,26
65,27
72,28
72,29
72,30
81,31
86,32
86,33
87,34
89,35
89,36
94,37
94,38
94,39
94,40
99,41
99,42
99,43
99,44
108,45
108,46
119,47
119,48
124,49
124,50
146,51
152,52
153,53
155,54
158,55
161,56
198,57
198,58
198,59
203,60
203,61
207,62
207,63
207,64
207,65
210,66
210,67
210,68
225,69
225,70
225,71
230,72
230,73
234,74
234,75
266,76
270,77
270,78
274,79
279,80
279,81
294,82
295,83
295,84
299,85
299,86
299,87
299,88
301,89
301,90
310,91
310,92
310,93
310,94
311,95
320,96
325,97
325,98
328,99
328,100
337,101
338,102
338,103
338,104
340,105
340,106
340,107
340,108
359,109
359,110
359,111
360,112
360,113
363,114
368,115
368,116
390,117
390,118
390,119
390,120
400,121
400,122
400,123
405,124
405,125
416,126
416,127
416,128
432,129
432,130
432,131
432,132
434,133
452,134
452,135
452,136
452,137
459,138
459,139
459,140
459,141
468,142
468,143
471,144
471,145
471,146
475,147
515,148
520,149
520,150
529,151
529,152
529,153
529,154
529,155
529,156
529,157
529,158
