score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
8,9
8,10
11,11
14,12
14,13
14,14
14,15
14,16
14,17
14,18
14,19
14,20
14,21
15,22
15,23
24,24
30,25
52,26
52,27
52,28
52,29
52,30
52,31
64,32
64,33
64,34
67,35
67,36
67,37
91,38
93,39
94,40
94,41
103,42
103,43
103,44
103,45
103,46
103,47
106,48
115,49
118,50
127,51
127,52
127,53
127,54
127,55
127,56
127,57
127,58
132,59
132,60
132,61
132,62
132,63
143,64
143,65
143,66
143,67
158,68
158,69
158,70
165,71
174,72
174,73
174,74
174,75
175,76
175,77
175,78
211,79
227,80
227,81
227,82
227,83
227,84
227,85
238,86
238,87
238,88
238,89
241,90
241,91
241,92
241,93
256,94
256,95
260,96
261,97
288,98
290,99
294,100
294,101
294,102
294,103
294,104
294,105
298,106
298,107
298,108
303,109
303,110
313,111
313,112
314,113
314,114
316,115
316,116
319,117
341,118
341,119
346,120
349,121
353,122
358,123
358,124
370,125
370,126
370,127
370,128
381,129
381,130
381,131
381,132
381,133
381,134
