score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
10,8
10,9
10,10
10,11
10,12
14,13
14,14
14,15
14,16
14,17
22,18
22,19
27,20
27,21
27,22
27,23
27,24
27,25
40,26
49,27
49,28
52,29
54,30
66,31
66,32
66,33
68,34
68,35
68,36
68,37
79,38
83,39
88,40
91,41
91,42
91,43
93,44
97,45
97,46
97,47
97,48
97,49
101,50
119,51
122,52
122,53
129,54
129,55
131,56
131,57
131,58
131,59
143,60
143,61
185,62
185,63
185,64
188,65
188,66
188,67
188,68
188,69
188,70
192,71
192,72
192,73
209,74
211,75
211,76
214,77
225,78
225,79
227,80
230,81
230,82
234,83
234,84
239,85
239,86
243,87
245,88
250,89
259,90
259,91
263,92
263,93
263,94
263,95
263,96
295,97
295,98
298,99
298,100
301,101
306,102
310,103
310,104
310,105
310,106
310,107
310,108
310,109
