score,frame
0,0
0,1
1,2
1,3
1,4
1,5
6,6
6,7
7,8
7,9
7,10
12,11
19,12
19,13
19,14
19,15
31,16
31,17
34,18
45,19
45,20
45,21
45,22
59,23
59,24
62,25
62,26
62,27
62,28
62,29
80,30
83,31
87,32
87,33
87,34
89,35
89,36
92,37
117,38
122,39
122,40
126,41
126,42
126,43
126,44
126,45
129,46
129,47
138,48
138,49
138,50
138,51
153,52
153,53
160,54
169,55
169,56
169,57
178,58
183,59
183,60
183,61
201,62
201,63
214,64
214,65
214,66
219,67
219,68
219,69
219,70
219,71
219,72
219,73
219,74
230,75
230,76
230,77
234,78
234,79
234,80
234,81
248,82
251,83
270,84
270,85
274,86
279,87
279,88
279,89
279,90
295,91
295,92
295,93
295,94
296,95
305,96
305,97
305,98
305,99
305,100
307,101
332,102
332,103
333,104
333,105
337,106
337,107
337,108
350,109
353,110
353,111
353,112
362,113
362,114
362,115
366,116
366,117
366,118
375,119
375,120
375,121
375,122
375,123
375,124
436,125
436,126
441,127
441,128
450,129
452,130
452,131
457,132
457,133
457,134
457,135
459,136
459,137
462,138
462,139
477,140
477,141
480,142
480,143
480,144
