score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
10,8
10,9
10,10
10,11
10,12
11,13
16,14
16,15
16,16
16,17
18,18
18,19
29,20
29,21
29,22
44,23
49,24
49,25
74,26
74,27
79,28
79,29
79,30
79,31
82,32
87,33
87,34
90,35
90,36
90,37
97,38
97,39
98,40
98,41
98,42
98,43
98,44
98,45
109,46
109,47
109,48
109,49
114,50
114,51
123,52
123,53
125,54
125,55
136,56
136,57
136,58
141,59
141,60
141,61
145,62
145,63
150,64
154,65
155,66
155,67
155,68
155,69
157,70
160,71
160,72
169,73
169,74
169,75
169,76
197,77
197,78
203,79
203,80
208,81
208,82
208,83
208,84
211,85
211,86
211,87
212,88
214,89
214,90
229,91
229,92
232,93
258,94
258,95
269,96
269,97
272,98
276,99
276,100
281,101
281,102
282,103
282,104
287,105
287,106
287,107
287,108
287,109
287,110
288,111
288,112
288,113
308,114
308,115
