score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
10,7
10,8
10,9
15,10
15,11
15,12
19,13
19,14
19,15
19,16
22,17
27,18
27,19
30,20
34,21
37,22
37,23
42,24
49,25
49,26
49,27
49,28
49,29
49,30
49,31
67,32
68,33
68,34
68,35
73,36
73,37
73,38
73,39
73,40
73,41
77,42
77,43
77,44
93,45
93,46
111,47
114,48
114,49
114,50
118,51
118,52
121,53
125,54
125,55
128,56
148,57
148,58
148,59
155,60
155,61
155,62
156,63
167,64
167,65
167,66
167,67
186,68
186,69
186,70
186,71
186,72
186,73
193,74
193,75
195,76
195,77
195,78
198,79
200,80
200,81
200,82
200,83
205,84
205,85
205,86
228,87
228,88
232,89
232,90
232,91
237,92
279,93
279,94
293,95
296,96
296,97
296,98
300,99
301,100
325,101
337,102
337,103
337,104
337,105
348,106
348,107
348,108
352,109
355,110
360,111
360,112
367,113
388,114
388,115
405,116
405,117
405,118
405,119
406,120
406,121
406,122
409,123
412,124
419,125
419,126
420,127
422,128
422,129
436,130
436,131
440,132
440,133
440,134
453,135
458,136
458,137
458,138
462,139
473,140
473,141
473,142
482,143
482,144
482,145
482,146
482,147
485,148
485,149
485,150
518,151
518,152
518,153
518,154
518,155
518,156
521,157
535,158
535,159
538,160
543,161
543,162
543,163
547,164
554,165
554,166
554,167
554,168
554,169
554,170
554,171
559,172
