score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
8,8
8,9
8,10
10,11
15,12
15,13
15,14
15,15
15,16
24,17
24,18
24,19
24,20
24,21
26,22
29,23
32,24
43,25
43,26
43,27
44,28
48,29
48,30
50,31
68,32
69,33
74,34
74,35
74,36
74,37
74,38
75,39
75,40
77,41
86,42
92,43
92,44
92,45
92,46
95,47
95,48
98,49
98,50
102,51
113,52
113,53
113,54
113,55
113,56
129,57
135,58
170,59
170,60
170,61
191,62
196,63
200,64
205,65
205,66
205,67
205,68
205,69
205,70
205,71
214,72
214,73
214,74
217,75
228,76
231,77
231,78
231,79
231,80
236,81
236,82
238,83
242,84
253,85
253,86
256,87
256,88
256,89
256,90
269,91
269,92
274,93
274,94
275,95
278,96
278,97
293,98
293,99
293,100
293,101
297,102
315,103
315,104
317,105
317,106
317,107
317,108
317,109
317,110
317,111
327,112
327,113
330,114
330,115
335,116
362,117
367,118
367,119
367,120
369,121
369,122
369,123
369,124
369,125
369,126
369,127
369,128
