score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
10,7
13,8
13,9
13,10
score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
10,7
13,8
13,9
13,10
13,11
22,12
22,13
27,14
27,15
27,16
38,17
38,18
41,19
44,20
48,21
59,22
61,23
61,24
61,25
61,26
61,27
61,28
66,29
66,30
66,31
66,32
66,33
66,34
66,35
66,36
66,37
75,38
75,39
75,40
75,41
75,42
83,43
110,44
110,45
110,46
111,47
111,48
111,49
111,50
111,51
120,52
122,53
129,54
129,55
132,56
132,57
132,58
132,59
132,60
143,61
143,62
153,63
153,64
153,65
153,66
159,67
164,68
189,69
189,70
189,71
189,72
189,73
189,74
189,75
193,76
198,77
198,78
201,79
201,80
203,81
203,82
203,83
203,84
203,85
203,86
212,87
212,88
212,89
219,90
241,91
241,92
241,93
241,94
244,95
244,96
244,97
