score,frame
0,0
0,1
1,2
1,3
1,4
1,5
4,6
8,7
15,8
15,9
15,10
15,11
15,12
18,13
18,14
30,15
30,16
30,17
30,18
32,19
32,20
32,21
50,22
55,23
55,24
55,25
57,26
57,27
57,28
57,29
69,30
69,31
79,32
79,33
79,34
82,35
82,36
86,37
86,38
86,39
86,40
102,41
102,42
102,43
106,44
112,45
121,46
123,47
126,48
137,49
137,50
137,51
137,52
139,53
148,54
148,55
148,56
152,57
163,58
163,59
167,60
167,61
169,62
169,63
169,64
184,65
187,66
187,67
187,68
187,69
187,70
187,71
201,72
201,73
201,74
201,75
201,76
201,77
209,78
211,79
214,80
244,81
246,82
249,83
249,84
254,85
254,86
258,87
258,88
261,89
261,90
261,91
294,92
294,93
294,94
294,95
299,96
299,97
299,98
299,99
303,100
304,101
304,102
304,103
304,104
309,105
309,106
330,107
330,108
330,109
330,110
333,111
333,112
333,113
338,114
341,115
341,116
356,117
356,118
356,119
356,120
356,121
360,122
364,123
364,124
364,125
364,126
364,127
365,128
368,129
397,130
399,131
399,132
403,133
444,134
448,135
448,136
448,137
450,138
450,139
468,140
468,141
468,142
468,143
468,144
468,145
473,146
473,147
473,148
473,149
473,150
473,151
477,152
477,153
488,154
488,155
488,156
489,157
489,158
